City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
Poum,NC,1579928839,-20.23,164.02,80.15,72,9.37,12
Bredasdorp,ZA,1579928840,-34.53,20.04,68.0,94,2.82,38
Butaritari,KI,1579928840,3.07,172.79,84.97,71,5.68,100
East London,ZA,1579928586,-33.02,27.91,68.0,82,3.36,20
Nikolskoye,RU,1579928840,59.7,30.79,35.6,80,17.9,90
Albany,US,1579928840,42.6,-73.97,37.4,94,4.7,1
Rikitea,PF,1579928831,-23.12,-134.97,78.35,77,14.85,22
Esperance,AU,1579928576,-33.87,121.9,78.8,50,13.87,40
Bykov,RU,1579928843,47.32,142.55,10.4,46,13.42,40
Rassvet,RU,1579928843,46.83,40.75,36.01,73,24.14,100
Gorontalo,ID,1579928844,0.54,123.06,86.65,62,4.83,37
Hobart,AU,1579928844,-42.88,147.33,77.0,41,14.99,75
Geraldton,AU,1579928605,-28.77,114.6,86.0,45,19.46,0
Taltal,CL,1579928604,-25.4,-70.48,67.57,87,2.8,0
Katsuura,JP,1579928829,35.13,140.3,52.0,49,6.93,75
Tuatapere,NZ,1579928597,-46.13,167.68,66.0,61,11.01,72
Dwarka,IN,1579928845,22.24,68.97,73.18,46,5.21,2
Assiniboia,CA,1579928704,49.63,-105.98,36.16,82,10.38,93
Zongozotla,MX,1579928845,19.98,-97.73,59.18,98,0.92,98
Mutsu,JP,1579928845,41.29,141.22,30.2,68,18.34,75
Lorengau,PG,1579928631,-2.02,147.27,84.33,67,2.62,36
Kruisfontein,ZA,1579928845,-34.0,24.73,73.33,64,8.52,36
Hay River,CA,1579928845,60.82,-115.8,6.8,84,5.82,75
Usinsk,RU,1579928553,65.99,57.53,-3.59,98,6.49,93
Winsum,NL,1579928846,53.33,6.52,39.2,93,8.05,90
Ginir,ET,1579928846,7.13,40.7,66.9,60,5.93,100
Ixtapa,MX,1579928849,20.7,-105.2,75.99,83,2.44,40
Laguna,US,1579928841,38.42,-121.42,55.99,86,6.93,90
Chui,UY,1579928850,-33.7,-53.46,68.58,82,11.74,0
Korla,CN,1579928610,41.76,86.15,20.43,57,1.36,100
Omsukchan,RU,1579928620,62.53,155.8,-32.76,97,11.05,100
Mont-Dore,NC,1579928850,-22.28,166.58,86.0,51,24.16,16
Taoudenni,ML,1579928850,22.68,-3.98,72.88,19,5.99,94
Nara,JP,1579928850,34.69,135.8,53.01,53,11.41,75
Port Lincoln,AU,1579928850,-34.73,135.87,73.44,56,7.65,1
Port Blair,IN,1579928824,11.67,92.75,79.97,73,16.26,61
Xucheng,CN,1579928851,20.35,110.13,78.8,69,13.42,75
Nouadhibou,MR,1579928851,20.93,-17.03,62.6,59,16.11,92
Pevek,RU,1579928583,69.7,170.31,-21.53,93,4.47,96
Rafaela,AR,1579928665,-31.25,-61.49,78.01,50,1.01,30
Avarua,CK,1579928851,-21.21,-159.78,82.4,88,6.93,90
Cabo San Lucas,MX,1579928801,22.89,-109.91,66.99,72,5.82,90
Tortoli,IT,1579928851,39.93,9.66,53.6,66,5.82,5
Castro,BR,1579928589,-24.79,-50.01,54.27,99,1.9,13
Baykit,RU,1579928852,61.67,96.37,19.45,95,4.41,86
Jamestown,US,1579928749,42.1,-79.24,44.01,93,8.05,90
Acapulco de Juarez,MX,1579928852,16.86,-99.89,77.0,88,4.03,40
Bambous Virieux,MU,1579928591,-20.34,57.76,82.0,94,17.22,75
Port Elizabeth,ZA,1579928852,-33.92,25.57,64.4,88,12.75,48
Auki,SB,1579928852,-8.77,160.7,85.1,77,12.44,4
Kondopoga,RU,1579928856,62.21,34.26,28.4,92,8.95,75
Arraial do Cabo,BR,1579928588,-22.97,-42.03,74.8,85,19.1,5
Waldoboro,US,1579928856,44.1,-69.38,37.99,92,4.7,90
Presidencia Roque Saenz Pena,AR,1579928856,-26.79,-60.44,69.73,57,2.42,38
Lompoc,US,1579928827,34.64,-120.46,59.0,66,8.05,1
Constitucion,CL,1579928569,-35.33,-72.42,59.79,50,3.15,0
Gamboma,CG,1579928856,-1.88,15.86,75.74,69,0.58,83
Tilichiki,RU,1579928857,60.47,166.1,27.1,83,26.04,100
Adrar,MR,1579928857,20.5,-10.07,70.43,49,4.63,99
Balkhash,KZ,1579928857,46.84,74.98,30.2,100,17.9,90
Kapaa,US,1579928857,22.08,-159.32,75.2,73,6.26,75
Kiryat Gat,IL,1579928857,31.61,34.76,45.0,87,2.24,40
Saldanha,ZA,1579928857,-33.01,17.94,66.2,82,12.75,54
Dudinka,RU,1579928857,69.41,86.18,10.4,85,22.37,75
Makurdi,NG,1579928857,7.74,8.51,65.26,12,6.22,59
Kroya,ID,1579928858,-7.63,109.25,88.52,62,4.92,73
Zhigansk,RU,1579928858,66.77,123.37,-41.04,95,10.36,55
Los Llanos de Aridane,ES,1579928858,28.66,-17.92,59.0,54,9.17,0
Saint Anthony,US,1579928858,45.02,-93.22,32.0,100,10.29,90
Tiksi,RU,1579928601,71.69,128.87,-31.09,76,5.06,0
Fomboni,KM,1579928858,-12.28,43.74,81.88,76,11.27,97
Lebu,CL,1579928858,-37.62,-73.65,55.17,70,7.07,0
Cape Town,ZA,1579928641,-33.93,18.42,66.0,100,4.7,75
Qaanaaq,GL,1579928862,77.48,-69.36,-8.14,48,6.51,40
Yeniseysk,RU,1579928862,58.45,92.17,29.19,96,8.23,100
Alofi,NU,1579928862,-19.06,-169.92,80.6,88,5.82,100
Cabinda,AO,1579928862,-5.55,12.2,80.02,83,6.29,96
Requena,ES,1579928862,39.49,-1.1,52.0,100,3.36,75
Challapata,BO,1579928862,-18.9,-66.77,52.52,70,9.1,100
Vardo,NO,1579928863,70.37,31.11,26.94,63,6.69,100
Vila Velha,BR,1579928587,-20.33,-40.29,78.01,100,5.82,90
Lata,PT,1579928863,40.16,-8.33,48.2,93,1.12,40
Miracema do Tocantins,BR,1579928863,-9.56,-48.4,73.0,96,0.36,100
Provideniya,RU,1579928593,64.38,-173.3,-9.51,95,5.5,30
Bengkulu,ID,1579928599,-3.8,102.27,76.78,91,1.14,100
Vuktyl,RU,1579928863,63.86,57.31,-4.36,98,4.07,90
Hithadhoo,MV,1579928609,-0.6,73.08,82.9,80,15.73,83
Suez,EG,1579928763,29.97,32.53,48.6,59,6.98,11
Tasiilaq,GL,1579928864,65.61,-37.64,24.8,58,25.28,100
Ciudad Bolivar,VE,1579928864,8.12,-63.55,76.24,70,9.78,32
Pisco,PE,1579928864,-13.7,-76.22,73.4,83,8.05,75
Mahebourg,MU,1579928826,-20.41,57.7,82.0,94,17.22,75
Mandalgovi,MN,1579928864,45.76,106.27,18.07,64,8.97,0
Quelimane,MZ,1579928635,-17.88,36.89,77.0,88,5.82,40
Narsaq,GL,1579928584,60.92,-46.05,19.4,73,3.36,100
George Town,MY,1579928824,5.41,100.34,89.6,59,8.05,20
Sakakah,SA,1579928600,29.97,40.21,33.8,34,13.87,90
Katobu,ID,1579928868,-4.94,122.53,87.62,67,3.47,10
Roanoke Rapids,US,1579928775,36.46,-77.65,59.0,100,6.93,40
Esim,GH,1579928868,4.87,-2.24,75.45,93,1.79,31
Chilliwack,CA,1579928753,49.17,-121.94,48.2,100,2.24,90
Ajdabiya,LY,1579928826,30.76,20.23,56.5,67,10.8,1
Kokopo,PG,1579928869,-4.35,152.26,84.25,77,9.4,44
Zomba,MW,1579928869,-15.39,35.32,70.27,88,2.95,100
Beringovskiy,RU,1579928637,63.05,179.32,18.09,89,10.42,100
Ziro,IN,1579928869,27.63,93.83,60.8,77,5.82,20
Laas,IT,1579928829,46.62,10.7,34.0,85,3.36,90
Aykhal,RU,1579928870,66.0,111.5,-22.0,74,8.95,90
Gwanda,ZW,1579928870,-20.93,29.0,72.03,66,8.37,50
Gonder,ET,1579928870,12.6,37.47,64.42,35,3.18,36
Vilhena,BR,1579928870,-12.74,-60.15,70.3,90,2.24,71
Saint George,US,1579928802,37.1,-113.58,46.0,59,0.34,1
Nador,MA,1579928870,35.17,-2.93,50.0,87,2.24,59
Gushi,CN,1579928870,34.64,109.58,42.91,60,5.03,100
Praia da Vitoria,PT,1579928588,38.73,-27.07,57.2,82,20.67,40
Honningsvag,NO,1579928871,70.98,25.97,28.26,65,22.44,100
Novoseleznevo,RU,1579928871,55.68,69.21,5.22,90,13.4,34
Nantucket,US,1579928871,41.28,-70.1,41.0,86,8.05,40
Galesong,ID,1579928871,-5.32,119.37,91.4,63,3.36,20
Busko-Zdroj,PL,1579928874,50.47,20.72,28.0,79,4.0,36
Tucuma,BR,1579928874,-0.18,-50.05,77.07,93,6.82,47
Ayan,RU,1579928874,56.45,138.17,-16.55,76,7.4,0
Marathon,US,1579928874,44.9,-89.77,33.8,99,4.7,90
Martapura,ID,1579928875,-3.42,114.85,87.8,70,6.93,40
Bluff,NZ,1579928875,-46.6,168.33,66.0,61,11.01,77
Tanout,NE,1579928875,14.97,8.89,58.73,13,14.92,0
Nanortalik,GL,1579928875,60.14,-45.24,20.57,69,28.27,100
Sitka,US,1579928850,57.05,-135.33,33.8,80,10.29,90
Gemeente Wageningen,NL,1579928875,51.97,5.67,37.0,100,5.82,90
Ayorou,NE,1579928875,14.73,0.92,65.12,13,11.27,13
Meiganga,CM,1579928875,6.52,14.3,58.1,21,6.46,16
Vostok,RU,1579928610,46.49,135.88,-1.19,83,8.16,6
Isangel,VU,1579928876,-19.55,169.27,80.6,88,5.82,75
Sinjai,ID,1579928650,-5.12,120.25,84.72,67,5.41,4
Ulaangom,MN,1579928584,49.98,92.07,0.88,87,3.38,59
Atherton,GB,1579928876,53.52,-2.49,44.6,100,4.7,90
Bo Rai,TH,1579928876,12.57,102.54,88.0,66,10.29,40
Longyearbyen,SJ,1579928876,78.22,15.64,3.2,45,20.8,20
Prainha,BR,1579928876,-1.8,-53.48,78.03,79,4.7,68
Mar del Plata,AR,1579928847,-38.0,-57.56,66.2,88,9.17,56
Hongjiang,CN,1579928877,27.11,110.0,40.1,96,4.61,100
Kalmar,SE,1579928877,56.66,16.36,39.2,86,6.93,91
Tura,IN,1579928877,25.52,90.22,72.73,36,4.12,0
Salalah,OM,1579928880,17.02,54.09,73.4,73,2.24,20
Am Timan,TD,1579928880,11.03,20.28,56.41,16,8.03,0
Ancud,CL,1579928605,-41.87,-73.82,57.2,100,5.82,40
Sibolga,ID,1579928881,1.74,98.78,89.8,53,3.56,7
Dingle,PH,1579928881,11.0,122.67,86.7,66,6.89,65
Anupgarh,IN,1579928881,29.19,73.21,68.86,31,7.49,1
Torbay,CA,1579928600,47.67,-52.73,15.01,78,6.93,5
Hamilton,US,1579928881,39.18,-84.53,41.0,86,3.36,90
Stornoway,GB,1579928881,58.21,-6.39,46.99,100,34.45,100
Guerrero Negro,MX,1579928629,27.98,-114.06,60.62,79,5.77,100
Vao,NC,1579928882,-22.67,167.48,77.34,84,20.85,33
Daru,PG,1579928882,-9.08,143.21,87.67,66,3.06,99
Fairbanks,US,1579928631,64.84,-147.72,-2.2,70,3.24,1
Olga,RU,1579928882,43.74,135.29,19.35,37,3.42,0
Ponta do Sol,PT,1579928882,32.67,-17.1,57.2,67,8.05,40
Japura,ID,1579928882,-0.32,102.35,96.1,45,1.77,7
Talnakh,RU,1579928882,69.49,88.4,10.4,85,22.37,75
Valday,RU,1579928883,57.97,33.25,32.49,94,12.91,70
Katy,US,1579928864,29.79,-95.82,51.8,81,4.88,1
Imbituba,BR,1579928883,-28.24,-48.67,69.8,94,5.82,20
Umm Lajj,SA,1579928883,25.02,37.27,55.15,39,12.33,0
Cherskiy,RU,1579928883,68.75,161.3,-28.52,91,1.41,100
Black River,JM,1579928886,18.03,-77.85,75.2,73,4.7,20
Chokurdakh,RU,1579928886,70.63,147.92,-35.27,95,1.97,18
Ponta Delgada,PT,1579928667,37.73,-25.67,55.4,71,6.93,75
Zhangjiakou,CN,1579928886,40.81,114.88,20.93,69,0.45,0
Ulladulla,AU,1579928869,-35.35,150.47,84.0,61,19.46,40
Byron Bay,AU,1579928887,-28.65,153.62,81.0,88,5.77,90
Derzhavinsk,KZ,1579928887,51.1,66.32,4.77,94,17.94,98
Gilgit,PK,1579928887,35.92,74.31,13.93,85,2.77,99
Maun,BW,1579928887,-19.98,23.42,71.6,78,5.82,13
Barcelos,PT,1579928843,41.54,-8.62,46.99,81,3.36,80
Ascension,US,1579928888,30.22,-90.9,51.01,66,4.43,1
Kamsack,CA,1579928643,51.57,-101.9,15.8,100,11.41,90
Ambilobe,MG,1579928888,-13.2,49.05,84.15,75,1.07,91
Quatre Cocos,MU,1579928888,-20.21,57.76,82.0,94,17.22,75
Furano,JP,1579928888,43.28,142.47,17.6,78,6.93,75
Clyde River,CA,1579928888,70.47,-68.59,-29.2,73,5.26,1
Mount Gambier,AU,1579928628,-37.83,140.77,73.4,56,17.22,90
Sulangan,PH,1579928889,11.14,123.72,83.62,73,6.98,15
Luderitz,NA,1579928889,-26.65,15.16,64.4,88,1.12,0
Waipawa,NZ,1579928889,-41.41,175.52,80.01,68,18.34,91
Cayenne,GF,1579928889,4.93,-52.33,78.8,88,4.7,75
Severo-Kuril'sk,RU,1579928889,50.68,156.12,15.85,89,48.07,97
Pincher Creek,CA,1579928889,49.48,-113.95,39.0,64,26.22,1
Staraya Toropa,RU,1579928892,56.28,31.67,34.09,89,11.9,53
Kisangani,CD,1579928892,0.52,25.2,68.0,88,2.35,100
Elko,US,1579928850,41.0,-115.5,33.8,86,4.7,1
Wattegama,LK,1579928893,6.8,81.48,84.2,79,13.87,98
Saint-Pierre,RE,1579928893,-21.34,55.48,82.4,88,25.28,95
Namatanai,PG,1579928893,-3.67,152.43,85.55,72,14.03,0
Mitu,CO,1579928893,1.2,-70.17,73.99,92,1.14,100
Kavieng,PG,1579928893,-2.57,150.8,84.11,73,15.9,42
Gamba,GA,1579928893,-2.65,10.0,76.87,89,3.56,47
Kavaratti,IN,1579928894,10.57,72.64,84.2,79,4.7,20
Kutum,SD,1579928894,14.2,24.67,45.05,29,6.38,0
Pemberton,CA,1579928894,50.32,-122.8,24.58,97,3.38,88
Fort-Shevchenko,KZ,1579928894,44.51,50.26,31.82,61,19.06,27
Saint-Augustin,CA,1579928894,51.23,-58.65,4.91,74,10.83,6
Talara,PE,1579928894,-4.58,-81.27,73.29,91,11.21,76
Fort Nelson,CA,1579928894,58.81,-122.7,8.6,84,5.82,90
Avera,US,1579928894,33.19,-82.53,55.4,100,4.7,90
Sistranda,NO,1579928895,63.73,8.83,35.6,80,20.8,40
Kaeo,NZ,1579928895,-35.1,173.78,84.0,72,4.0,0
Baharly,TM,1579928895,38.44,57.43,34.59,93,15.75,100
Ola,RU,1579928596,59.58,151.28,-13.5,75,11.83,100
Khartoum,SD,1579928688,15.55,32.53,51.8,40,10.29,10
Alihe,CN,1579928895,50.57,123.72,7.79,70,5.55,0
Kropotkin,RU,1579928895,45.44,40.58,33.01,58,24.49,98
Tahe,CN,1579928898,52.33,124.73,5.16,71,2.19,3
Antofagasta,CL,1579928899,-23.65,-70.4,73.4,83,4.7,75
Sao Filipe,CV,1579928899,14.9,-24.5,72.79,64,16.51,13
Thomaston,US,1579928899,32.89,-84.33,46.4,75,7.81,1
Prokudskoye,RU,1579928899,55.01,82.46,30.2,92,20.13,90
Ilulissat,GL,1579928899,69.22,-51.1,12.2,43,20.8,99
Yangi Marg`ilon,UZ,1579928899,40.43,71.72,35.6,58,2.24,40
Turochak,RU,1579928899,52.26,87.12,26.64,80,1.5,100
Samarai,PG,1579928899,-10.62,150.67,86.25,66,3.69,87
Ribeira Grande,PT,1579928900,38.52,-28.7,57.97,88,17.58,100
Jadu,LY,1579928900,31.95,12.03,54.88,28,10.54,82
Grindavik,IS,1579928832,63.84,-22.43,35.6,77,31.09,90
Broome,US,1579928900,42.25,-75.83,42.8,35,6.93,75
Teya,RU,1579928887,60.38,92.63,22.59,93,4.79,85
Medyn,RU,1579928900,54.97,35.86,35.6,93,13.42,90
Puerto Ayora,EC,1579928900,-0.74,-90.35,77.0,47,10.78,16
Uniao dos Palmares,BR,1579928900,-9.16,-36.03,77.0,88,5.82,20
Houma,US,1579928901,29.6,-90.72,51.8,100,6.24,90
El Alto,PE,1579928901,-4.27,-81.21,72.97,76,6.89,98
Sao Joao da Barra,BR,1579928901,-21.64,-41.05,73.13,90,5.95,100
Mersa Matruh,EG,1579928615,31.35,27.25,55.4,58,5.82,75
Aklavik,CA,1579928901,68.22,-135.01,-4.0,76,10.29,90
Karlskoga,SE,1579928901,59.33,14.52,36.0,80,6.93,84
Kitimat,CA,1579928627,54.05,-128.65,37.4,100,3.36,90
Tyukhtet,RU,1579928901,56.54,89.3,30.92,79,11.23,100
Thompson,CA,1579928827,55.74,-97.86,12.2,85,5.82,5
Tshikapa,CD,1579928905,-6.42,20.8,72.95,89,2.17,68
Khatanga,RU,1579928905,71.97,102.5,-21.55,89,7.07,69
Belaya Gora,RU,1579928905,68.53,146.42,-34.42,89,1.5,82
Muisne,EC,1579928905,0.6,-80.03,77.04,90,6.46,100
Te Anau,NZ,1579928629,-45.42,167.72,65.05,72,5.68,12
Kyra,RU,1579928905,49.58,111.98,6.73,78,3.18,0
Camacha,PT,1579928906,33.08,-16.33,60.8,63,14.99,40
Peleduy,RU,1579928906,59.63,112.74,12.52,93,8.08,100
Port Hardy,CA,1579928906,50.7,-127.42,44.6,87,10.29,75
Hurricane,US,1579928906,37.18,-113.29,46.0,59,0.34,1
Lucapa,AO,1579928642,-8.42,20.74,70.11,92,3.56,96
Frei Paulo,BR,1579928906,-10.55,-37.53,82.4,78,6.93,20
Cobija,BO,1579928906,-11.03,-68.77,72.19,96,2.04,100
Norman Wells,CA,1579928906,65.28,-126.83,-7.6,83,3.36,90
Huarmey,PE,1579928907,-10.07,-78.15,73.51,67,3.4,98
Morgan City,US,1579928907,29.7,-91.21,53.01,100,5.14,90
Takoradze,GH,1579928907,4.88,-1.76,75.45,93,1.79,31
Crotone,IT,1579928907,39.09,17.12,51.13,80,11.77,12
Dawei,MM,1579928907,14.08,98.2,78.85,64,8.08,100
Nuevo Casas Grandes,MX,1579928907,30.42,-107.92,51.73,47,4.92,100
Halifax,CA,1579928886,44.65,-63.57,26.01,92,6.93,75
Faanui,PF,1579928907,-16.48,-151.75,82.33,77,13.4,4
Ugoofaaru,MV,1579928669,5.67,73.0,82.27,79,15.77,87
Chengde,CN,1579928908,40.97,117.94,30.11,53,3.09,0
Nanhyanga,TZ,1579928911,-10.8,39.55,79.18,90,1.54,85
La Ligua,CL,1579928911,-32.45,-71.23,60.8,93,3.36,90
Magistralnyy,RU,1579928911,56.17,107.45,19.0,84,9.01,100
Les Cayes,HT,1579928911,18.2,-73.75,76.55,74,6.46,0
Killybegs,IE,1579928911,54.63,-8.45,44.01,91,8.99,100
Henties Bay,NA,1579928911,-22.12,14.28,63.0,96,1.01,0
Bardiyah,LY,1579928912,31.76,25.09,53.67,66,9.04,0
Mount Isa,AU,1579928912,-20.73,139.5,87.8,62,12.75,40
Caravelas,BR,1579928912,-17.71,-39.25,79.47,80,29.64,100
Kalachinsk,RU,1579928912,55.05,74.58,8.01,92,12.39,80
Santa Lucia,ES,1579928912,27.91,-15.54,57.99,58,3.36,20
Grand Gaube,MU,1579928912,-20.01,57.66,82.0,94,17.22,75
Ibicui,BR,1579928912,-14.84,-39.99,68.83,97,2.21,100
Rome,US,1579928912,34.26,-85.16,46.4,70,3.36,90
Upernavik,GL,1579928868,72.79,-56.15,-10.61,93,6.73,100
Muros,ES,1579928913,42.78,-9.06,48.0,93,2.24,20
Cabo Rojo,PR,1579928913,18.09,-67.15,75.0,83,4.7,1
Khovd,MN,1579928913,48.01,91.64,10.13,56,2.75,59
Ambon,ID,1579928913,-3.7,128.18,91.4,52,9.17,40
Walvis Bay,NA,1579928913,-22.96,14.51,63.0,93,3.36,90
Tautira,PF,1579928913,-17.73,-149.15,84.2,74,10.29,20
Conde,BR,1579928914,-7.26,-34.91,78.8,88,5.82,75
Bonavista,CA,1579928882,48.65,-53.11,15.01,76,8.01,2
Sinnamary,GF,1579928914,5.38,-52.95,78.82,84,14.92,39
Helong,CN,1579928917,42.54,129.0,22.93,62,3.67,3
New Ipswich,US,1579928917,42.75,-71.85,37.0,80,9.8,90
Amberley,US,1579928917,39.2,-84.43,39.99,86,3.36,90
Leningradskiy,RU,1579928917,69.38,178.42,-21.35,82,1.21,42
Souillac,MU,1579928824,-20.52,57.52,82.0,94,17.22,75
Bubaque,GW,1579928918,11.28,-15.83,77.07,75,10.6,99
Abha,SA,1579928902,18.22,42.51,50.0,93,5.82,40
Pimentel,PE,1579928918,-6.84,-79.93,66.2,29,10.29,20
Vila,PT,1579928918,42.03,-8.16,48.0,93,4.7,93
Skibbereen,IE,1579928918,51.55,-9.27,41.0,93,4.7,40
Kumul,CN,1579928918,42.8,93.45,19.89,59,3.56,0
Chermoz,RU,1579928919,58.79,56.15,7.43,94,8.63,90
Yar-Sale,RU,1579928919,66.83,70.83,1.96,96,4.47,88
Kapit,MY,1579928919,2.02,112.93,82.56,71,2.53,98
Mehamn,NO,1579928874,71.04,27.85,23.65,75,19.48,100
Sambava,MG,1579928919,-14.27,50.17,87.01,61,1.88,65
Tripoli,LY,1579928724,32.88,13.19,63.75,55,11.36,86
Shimoda,JP,1579928623,34.67,138.95,55.4,61,14.99,75
Cabra,ES,1579928919,37.47,-4.44,53.01,100,3.36,20
Hasaki,JP,1579928920,35.73,140.83,52.0,46,8.05,75
Kyren,RU,1579928920,51.68,102.14,18.72,65,7.58,35
Matara,LK,1579928923,5.95,80.54,86.4,56,4.32,100
Troitskoye,RU,1579928923,52.98,84.68,32.63,81,19.42,100
Zhanaozen,KZ,1579928923,43.3,52.8,26.15,54,12.35,21
Rawson,AR,1579928638,-43.3,-65.1,66.06,55,29.68,54
Andenes,NO,1579928631,69.31,16.12,33.8,86,11.41,100
Urumqi,CN,1579928923,43.8,87.6,28.4,58,2.24,96
Fort Frances,CA,1579928699,48.6,-93.4,24.8,79,3.18,90
Villazon,BO,1579928924,-22.09,-65.59,50.45,68,4.83,20
Sarangani,PH,1579928924,5.4,125.46,82.53,76,11.95,57
Trincomalee,LK,1579928924,8.57,81.23,84.24,60,7.7,84
Bandarbeyla,SO,1579928924,9.49,50.81,78.73,82,20.74,100
Fare,PF,1579928924,-16.7,-151.02,82.56,76,13.82,9
Alta Floresta,BR,1579928876,-9.88,-56.09,71.4,98,3.65,99
Weyburn,CA,1579928924,49.67,-103.85,19.0,89,5.99,100
Oodweyne,SO,1579928925,9.41,45.06,72.88,57,16.02,96
Carballo,ES,1579928925,43.21,-8.69,42.01,100,5.82,49
Tromso,NO,1579928832,69.65,18.96,30.2,86,12.75,90
Maragogi,BR,1579928740,-9.01,-35.22,81.01,77,9.08,100
Pecos,US,1579928925,31.42,-103.49,50.0,61,4.7,1
Clarence Town,AU,1579928925,-32.58,151.78,87.01,74,12.75,40
Ust-Maya,RU,1579928926,60.42,134.53,-36.24,96,2.73,31
Half Moon Bay,US,1579928926,37.46,-122.43,57.2,93,3.49,90
Moba,CN,1579928929,33.23,105.02,40.68,41,3.38,29
Roald,NO,1579928630,62.58,6.13,39.2,86,14.99,100
Cidreira,BR,1579928929,-30.18,-50.21,71.04,78,5.86,4
Visby,SE,1579928929,57.64,18.3,41.0,86,12.75,47
Valparaiso,CL,1579928929,-33.04,-71.63,60.8,93,3.36,90
Mbanza-Ngungu,CD,1579928930,-5.25,14.87,70.52,95,2.73,100
Booue,GA,1579928930,-0.09,11.94,71.67,95,1.03,28
Mogadishu,SO,1579928930,2.04,45.34,80.6,74,11.41,75
Srednekolymsk,RU,1579928930,67.45,153.68,-37.91,90,5.91,62
Marabu,MY,1579928930,4.41,114.01,86.0,84,2.24,75
Tres Marias,MX,1579928930,19.05,-99.24,57.2,61,3.18,20
Botro,CI,1579928930,7.85,-5.31,75.2,31,6.93,24
Aasiaat,GL,1579928931,68.71,-52.87,13.37,87,9.64,100
Bethel,US,1579928931,41.37,-73.41,39.2,91,6.93,40
Mossamedes,AO,1579928876,-15.2,12.15,74.66,73,7.23,86
Mayo,US,1579928931,38.89,-76.51,48.2,87,10.29,1
San Luis,AR,1579928931,-33.3,-66.34,80.83,26,13.38,27
Carnarvon,AU,1579928931,-24.87,113.63,87.8,48,19.46,0
Bagumbong,PH,1579928931,6.9,124.52,93.54,48,2.46,39
Vysokogornyy,RU,1579928931,50.12,139.15,-11.11,93,9.01,100
Naze,JP,1579928931,28.37,129.48,75.2,78,6.93,75
Acarau,BR,1579928932,-2.89,-40.12,75.43,94,4.07,71
Gushikawa,JP,1579928932,26.35,127.87,80.6,57,16.11,75
Bom Jesus,BR,1579928668,-9.07,-44.36,71.67,90,1.72,100
Pitimbu,BR,1579928935,-7.47,-34.81,78.8,88,5.82,75
